name,type,race,url,description,unique identifier,federal or state
Spence for Governor,Candidate,Governor,http://www.spenceforgovernor.com/,Campaign committee for Dave Spence,,
Clint Zweifel for Missouri,Candidate,Treasurer,http://www.clintformissouri.com/,Campaign committee for Clint Zweifel,,
Kander for Missouri,Candidate,Secretary of State,http://www.jasonkander.com/,Campaign committee for Jason Kander,,
Missourians for Koster,Candidate,Attorney General,http://www.chriskoster.com/,Campaign committee for Chris Koster,,
"Restoring America, Inc.",527,U.S Senate,http://images.nictusa.com/cgi-bin/fecimg/?C00515072,"This committee ran-last minute ads supporting Todd Akin in the last days of the primary, according to its FEC filings.",,
U.S. Chamber of Commerce,N/A,U.S. Senate,http://www.uschamber.com/,"The U.S. Chamber of Commerce endorsed John Brunner early on in the primary race and subsequently ran ads opposing Claire McCaskill. This is an independent group, not associated with or defined as a type of PAC.",,
Missourians For Health And Education,Campaign,Issue,http://www.acscan.org/action/mo/campaigns/moballot/,Associated with the American Cancer Society. This group has purchased ad time close to the November general election in support of a ballot initiative that would increase Missouri's tobacco tax.,,
Dixon for Osage County Sheriff,N/A,Osage County Sheriff,http://michaelforsheriff.com/,"Michael Dixon Jr. does not have an official committee filed with the Missouri Ethics Commission. The candidate is paying for his campaign material himself, according to his website.",,
Susan B. Anthony List,501(c)(4),Issue,http://www.sba-list.org/,"The Susan B. Anthony List is a conservative non-profit group that supports pro-life policies and endorses Republican candidates. It is associated with a political action committee, the Susan B. Anthony List Candidate Fund.",,
Missourians for Ed Martin,Candidate,Attorney General,http://edmartinformissouri.com/,Campaign committee for Ed Martin,,
Mary Still for Senate,Candidate,State 19th Senate District,http://marystill.com/,Campaign committee for Mary Still,,
Friends of Caleb Rowden,Candidate,State 44th House District,http://calebrowden44.com/,Campaign committee for Caleb Rowden,,
Citizens to Elect Kurt Schaefer,Candidate,State 19th Senate District,http://www.schaeferforsenate.com/,Campaign committee for Kurt Schaefer,,
Montee for Missouri,Candidate,Lieutenant Governor,http://susanmontee.com/,Campaign committee for Susan Montee,,
Vicky Hartzler for Congress,Candidate,Missouri 4th Congressional District,http://www.vickyhartzler.com/,Campaign committee for Vicky Hartzler,,
American Future Fund,501(c)(4),Issue,http://americanfuturefund.com/,,,
Janet Thompson for Boone County,Candidate,Boone County Northern District Commissioner,http://www.thompsonforboone.com/,Campaign committee for Janet Thompson,,
Friends of Chris Kelly,Candidate,State 45th House District,http://chriskelly24.com/,Campaign committee for Chris Kelly,,
Ken Jacob Comittee,Candidate,State 44th House District,http://www.fighting44th.com/,Campaign committee for Ken Jacob,,
Missouri Petroleum Marketers & Convenience Store Association,Political action committee,Issue,http://www.mpca.org/,"Political action committee that is running an opposition campaign to Proposition B, which asks Missouri voters if the state's 17 cents per pack tobacco tax should be raised to 90 cents.",,
RandPAC,Political action committee,Issue,http://www.randpac.com/,"RandPAC is an acronym for Reinventing a New Direction political action committee. Founded and operated by Rand Paul, a Republican U.S. senator from Kentucky, RandPAC's stated mission is to support ""pro-liberty, pro-constitution"" candidates across the nation. The political action committee began running ads against incumbent Missouri U.S. Sen. Claire McCaskill towards the end of the general election cycle. ",,
Committee To Elect Randall Kleindienst For Eastern District Commissioner,Candidate, Callaway County Eastern District Commissioner,http://www.randyforcommissioner.com/,Campaign committee for Randall Kleindiest,,
